"","lev","roadname","length"
"1","主要道路","中山路",1187.27
"2","主要道路","西海路一段",3272.33
"3","主要道路","西海路二段",1375.83
"4","主要道路","西海路三段",5047.94
"5","主要道路","伯玉路一段",3384.92
"6","主要道路","伯玉路二段",2570.68
"7","主要道路","伯玉路三段",2724.06
"8","主要道路","伯玉路四段",880.51
"9","主要道路","沙青路",2999.94
"10","主要道路","金港路",2245.96
"11","主要道路","桃園路",4115.81
"12","主要道路","珠水路",3285.41
"13","主要道路","頂林路",3819.76
"14","主要道路","慈湖路一段",1185.37
"15","主要道路","慈湖路二段",1509.84
"16","主要道路","慈湖路三段",2270.66
"17","主要道路","經武路",2752.4
"18","主要道路","寧湖路",2205.44
"19","主要道路","盤果路",1398.96
"20","主要道路","環島北路",2087.18
"21","主要道路","環島北路一段",1333.66
"22","主要道路","環島北路二段",3382.04
"23","主要道路","環島北路三段",4117.47
"24","主要道路","環島北路四段",1966.24
"25","主要道路","環島西路",162.01
"26","主要道路","環島西路一段",3625.28
"27","主要道路","環島西路二段",4236.48
"28","主要道路","環島東路一段",417.67
"29","主要道路","環島東路一段",1675.17
"30","主要道路","環島東路二段",2087.49
"31","主要道路","環島東路三段",1517.95
"32","主要道路","環島東路五段",3226.63
"33","主要道路","環島東路四段",1802.15
"34","主要道路","環島南路一段",3741.73
"35","主要道路","環島南路三段",3315.24
"36","主要道路","環島南路五段",2734.48
"37","主要道路","環島南路四段",2180.74
"38","主要道路","瓊徑路",2497.4
"39","次要道路","三多路",3783.31
"40","次要道路","士校路",2998.19
"41","次要道路","大山路",2743.26
"42","次要道路","大學路",1061.69
"43","次要道路","公園路",1201.83
"44","次要道路","太湖路一段",2261.03
"45","次要道路","太湖路二段",1011.56
"46","次要道路","太湖路三段",2461.72
"47","次要道路","四維路",4707.23
"48","次要道路","市港路",622.82
"49","次要道路","玉章路",4044.52
"50","次要道路","光華路一段",1279.97
"51","次要道路","光華路二段",2937.4
"52","次要道路","西峰路",1276.52
"53","次要道路","西園路",1186.77
"54","次要道路","伯玉路五段",1495.37
"55","次要道路","林堡路",1463.4
"56","次要道路","林湖路",3259.11
"57","次要道路","金山路",4375.34
"58","次要道路","南機路",3035.75
"59","次要道路","浦華路",3428.66
"60","次要道路","高陽路",4346.45
"61","次要道路","陽沙路",6557.03
"62","次要道路","黃海路",3716.72
"63","次要道路","環島南路二段",2256.92
"64","次要道路","雙瓊路",1550.24
"65","次要道路","瓊安路",6165.76
"66","次要道路","瓊義路",2121
"67","次要道路","蘭陽路",3869.06
"68","道路","無名",462864
"69","道路","三民路",482.91
"70","道路","下莊中興路",272.93
"71","道路","下莊光武路",103.55
"72","道路","下莊新生街",45.5
"73","道路","中正路",410.93
"74","道路","中興街",197.39
"75","道路","中興路",1685.51
"76","道路","中環路",212.44
"77","道路","五福街",207.64
"78","道路","仁堡路",1761.89
"79","道路","仁愛街",99.39
"80","道路","文化路",1112.04
"81","道路","民生路",2572.81
"82","道路","民族路",2882.09
"83","道路","民權路",6094.74
"84","道路","民權路1之1弄",132.54
"85","道路","光武路",806.14
"86","道路","光前路",1507.63
"87","道路","成功路",442.84
"88","道路","自強路",222.01
"89","道路","和平街",32.62
"90","道路","官東路",1190.77
"91","道路","延平路",2033.98
"92","道路","東湖路",2014.9
"93","道路","東觀路",1222.47
"94","道路","林森路",383.71
"95","道路","武德新莊自強路",317.14
"96","道路","金城新村1巷",53.6
"97","道路","金城新村2巷",55.27
"98","道路","金城新村3巷",57.38
"99","道路","金城新村4巷",60.77
"100","道路","金城新村5巷",62.35
"101","道路","金城新村6巷",63.81
"102","道路","金城新村7巷",116.76
"103","道路","金城新莊1巷",56.87
"104","道路","金城新莊2巷",54.94
"105","道路","金城新莊3巷",52.82
"106","道路","金城新莊4巷",52.68
"107","道路","金城新莊5巷",53.52
"108","道路","金城新莊6巷",53.07
"109","道路","金剛戰備道",684.52
"110","道路","金賢路",1109.22
"111","道路","信義路",103.03
"112","道路","前港路",932.15
"113","道路","南山路",1283.28
"114","道路","柏村路",945.7
"115","道路","泰仰路",1132.45
"116","道路","浯江北堤路",740.89
"117","道路","浯江街",181.08
"118","道路","浯江路",503.75
"119","道路","珠浦北路",629.5
"120","道路","珠浦西路",4863.81
"121","道路","珠浦東路",840.29
"122","道路","珠浦南路",1210.19
"123","道路","國中路",298.16
"124","道路","國順街",155.31
"125","道路","莒光路",1354.1
"126","道路","莒光路一段",155.93
"127","道路","勝利路",106.3
"128","道路","博愛街",149.38
"129","道路","富康一村1巷",107.15
"130","道路","富康一村2巷",105.1
"131","道路","富康一村3巷",105.58
"132","道路","富康一村4巷",105.58
"133","道路","富康一村5巷",105.41
"134","道路","富康一村6巷",104.58
"135","道路","富康一村7巷",102.09
"136","道路","富康一村8巷",100.37
"137","道路","富康一村9巷",97.31
"138","道路","復興西路",117.97
"139","道路","復興街",81.04
"140","道路","復興路",1207.14
"141","道路","復興路一段",577.98
"142","道路","菜市場路",176.04
"143","道路","新興街",310.72
"144","道路","德明路",696.24
"145","道路","模範街",111.73
"146","道路","歐濱路",1781.4
"147","道路","賢城路",201.36
"148","道路","燕南路",1231.72
"149","道路","擎天路",1802.72
"150","道路","濱海大道",10671.1
"151","道路","環中路",1714.66
"152","道路","瓊林街",144.75
"153","道路","羅新路",2179.95
